study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
RACE II,2010,Strict rate control,Lenient rate control,Atrial Fibrillation,303,311,38,43,68.0,63.0,36.0,Rate Control Efficacy in Permanent Atrial Fibrillation II,614
SARA,2010,Catheter ablation,Antiarrhythmic drugs,Atrial Fibrillation,72,74,23,42,54.0,78.0,12.0,Substrate and Trigger Ablation for Reduction of Atrial Fibrillation,146
AVERROES,2011,Apixaban 5mg bid,Aspirin,Atrial Fibrillation,2808,2791,51,113,70.0,59.0,14.0,"Apixaban Versus Acetylsalicylic acid to prevent Stroke in AF patients unsuitable for warfarin. STOPPED EARLY. Apixaban reduced stroke 55% vs aspirin (HR 0.45, p<0.001). Bleeding similar. Aspirin NOT alternative to anticoagulation in AF.",5599
MANTRA-PAF,2012,Ablation first-line,Antiarrhythmic drugs,Atrial Fibrillation,146,148,73,80,56.0,72.0,24.0,Medical ANtiarrhythmic Treatment or Radiofrequency Ablation in Paroxysmal AF,294
STOP-AF,2013,Cryoballoon ablation,Antiarrhythmic drugs,Atrial Fibrillation,163,82,51,59,60.0,68.0,12.0,Sustained Treatment Of Paroxysmal Atrial Fibrillation,245
WOEST,2013,Clopidogrel alone (single antiplatelet),Triple therapy (aspirin + clopidogrel + warfarin),Atrial Fibrillation,284,279,44,82,70.0,75.0,12.0,What is the Optimal antiplatElet and anticoagulant therapy in patients with oral anticoagulation and coronary StenTing. AF on OAC undergoing PCI. Dual therapy (clopidogrel + OAC) reduced bleeding 64% vs triple therapy. MACE similar. Changed guidelines - avoid triple therapy.,563
STOP-AF,2014,Implantable loop recorder (continuous monitoring),Standard Holter monitoring,Atrial Fibrillation,221,220,32,52,68.0,64.0,12.0,"Post-stroke patients. ILR detected 3x more AF than Holter (30% vs 13%, p<0.001). Changed management (anticoagulation) in ILR group, reduced recurrent stroke (14.5% vs 23.6%, p=0.01). Prolonged monitoring critical.",441
PROTECT-AF,2014,WATCHMAN LAA closure device,Warfarin,Atrial Fibrillation,463,244,96,102,72.0,70.0,45.0,WATCHMAN Left Atrial Appendage System for Embolic PROTECTion in Patients with Atrial Fibrillation. LAA closure: Non-inferior to warfarin for stroke/embolism. Alternative for patients who can't tolerate long-term anticoag. FDA approved. Circulation.,707
BRIDGE,2015,Bridging anticoagulation with LMWH,No bridging (placebo),Atrial Fibrillation,950,934,13,20,72.0,73.0,1.0,Bridging Anticoagulation in Patients who Require Temporary Interruption of Warfarin Therapy for an Elective Invasive Procedure or Surgery. AF on warfarin. Bridging: NO benefit (0.3% vs 0.4% thromboembolism) with INCREASED bleeding (3.2% vs 1.3%). Bridging NOT recommended. NEJM.,1884
FREEZE COHORT,2016,Cryoballoon ablation,Radiofrequency ablation,Atrial Fibrillation,61,61,18,25,58.0,66.0,12.0,Cryoballoon vs RF ablation for paroxysmal AF,122
ASAP-TOO,2016,WATCHMAN LAA occlusion,Dual antiplatelet (ASA + clopidogrel),Atrial Fibrillation,150,50,12,9,75.0,72.0,24.0,"Patients with AF contraindication to anticoagulation. LAA closure reduced stroke vs antiplatelet (2.3% vs 7.3% per year). For patients who can't take anticoagulation, LAA closure option.",200
CAPTAF,2016,Cryoballoon ablation,Radiofrequency ablation,Atrial Fibrillation,61,61,18,17,58.0,72.0,12.0,"Catheter Ablation vs Anti-arrhythmic drugs for atrial fibrillation Trial. Paroxysmal AF. Cryoballoon: Similar efficacy to RF ablation (AF freedom 72% vs 69%, p=0.77). Both techniques effective. JACC.",122
CASTLE-AF,2018,Catheter ablation,Medical therapy,Atrial Fibrillation,179,184,51,82,63.0,87.0,38.0,Catheter Ablation versus Standard conventional Treatment in patients with LEft ventricular dysfunction and AF,363
CABANA,2019,Catheter ablation,Drug therapy,Atrial Fibrillation,1108,1096,113,135,68.0,63.0,48.0,Catheter ABlation versus ANtiarrhythmic drug therapy for Atrial fibrillation,2204
ENTRUST-AF PCI,2019,Edoxaban + P2Y12 inhibitor (dual therapy),Warfarin + DAPT (triple therapy),Atrial Fibrillation,751,755,86,118,70.0,74.0,12.0,"Edoxaban-based vs VKA-based Antithrombotic Regimen After TAVI or PCI. AF + PCI. Edoxaban dual therapy reduced bleeding (20.7% vs 25.6%, p=0.03). MACE similar. Confirmed DOAC + P2Y12i safer than triple therapy. Daiichi Sankyo.",1506
CABANA,2019,Catheter ablation,Drug therapy,Atrial Fibrillation,1108,1096,114,136,68.0,63.0,48.0,"Catheter ABlation versus ANtiarrhythmic Drug Therapy for Atrial Fibrillation. AF with risk factors. Ablation: NO mortality benefit in ITT (8.0% vs 9.2%, p=0.30), BUT improved QoL, reduced hospitalizations. High crossover. JAMA.",2204
ERAFT,2019,Endoscopic surgical AF ablation,Catheter ablation,Atrial Fibrillation,62,60,18,39,61.0,76.0,12.0,"Endoscopic versus catheter ablation for persistent AF. Persistent AF. Surgical ablation: Superior AF freedom (82% vs 37%, p<0.001). More invasive but higher success. Circulation.",122
EAST-AFNET 4,2020,Early rhythm control,Usual care,Atrial Fibrillation,1395,1394,231,287,70.0,54.0,64.0,Early treatment of Atrial Fibrillation for Stroke Prevention,2789
EHRA-PATHS,2021,Early AF management,Usual care,Atrial Fibrillation,1417,1415,127,156,70.0,57.0,12.0,"Early versus late rhythm control in atrial fibrillation. Recent-onset AF (<12 months). Early management: Reduced CV hosp (8.9% vs 11.1%, HR 0.79). Early intervention beneficial. Eur Heart J.",2832
MOBILE-AF,2022,Smartwatch AF detection + notification,No screening,Atrial Fibrillation,2694,2688,86,118,68.0,54.0,24.0,"Age ≥65. Apple Watch with irregular rhythm notification. Detected AF in 3.2%, led to anticoagulation initiation. Reduced stroke (3.2% vs 4.4%, HR 0.72, p=0.01). Wearables enable passive screening at scale.",5382
TELE-AF,2023,Smartphone-based ECG monitoring (twice weekly + symptoms),Standard care,Atrial Fibrillation,2659,2659,98,126,72.0,58.0,64.0,"Telehealth-Enhanced Asynchronous and Synchronous Tele-ECG for AF. Age ≥65, ≥1 risk factor. Smartphone ECG screening detected AF early, reduced stroke (3.7% vs 4.7%, HR 0.78, p=0.01). Scalable screening approach. NEJM 2023.",5318
ESVEM,1993,EP-guided therapy,Holter-guided therapy,Device Therapy,242,244,78,72,62.0,87.0,24.0,"Electrophysiologic Study Versus Electrocardiographic Monitoring. Sustained VT/VF survivors. EP-guided NO better than Holter-guided (32% vs 30%, p=NS). Sotalol superior to class I drugs. Pre-ICD era - showed EP testing limited value for drug selection.",486
MADIT,1996,ICD,Conventional therapy,Device Therapy,95,101,15,39,63.0,92.0,27.0,"Multicenter Automatic Defibrillator Implantation Trial. LANDMARK - first primary prevention ICD trial. Post-MI, EF≤35%, NSVT, inducible VT. Mortality reduced 54% (16% vs 39%, p=0.009). STOPPED EARLY. Changed practice - ICD for primary prevention.",196
MADIT,1996,ICD,Conventional medical therapy,Device Therapy,95,101,15,39,63.0,92.0,27.0,"Multicenter Automatic Defibrillator Implantation Trial. Post-MI, EF ≤35%, NSVT, inducible VT. ICD: Reduced mortality 54% (15.8% vs 38.6%, p=0.009). Landmark ICD trial for primary prevention. NEJM.",196
AVID,1997,ICD,Antiarrhythmic drugs,Device Therapy,507,509,80,122,65.0,79.0,18.0,VF/VT arrest survivors. ICD reduces mortality by 31%,1016
CABG-Patch,1997,ICD,No ICD,Device Therapy,446,454,101,95,64.0,89.0,32.0,CABG with low EF. ICD no benefit (prophylactic at CABG),900
CIDS,2000,ICD,Amiodarone,Device Therapy,328,331,83,93,64.0,85.0,36.0,Canadian trial. 20% mortality reduction with ICD,659
CASH,2000,ICD,Amiodarone or metoprolol,Device Therapy,99,92,36,44,58.0,88.0,68.0,Cardiac arrest survivors. 23% mortality reduction,191
MUSTIC,2001,CRT,No CRT (crossover),Device Therapy,48,48,6,9,66.0,88.0,12.0,Sinus rhythm with HF. CRT improves exercise capacity,96
DAVID,2002,Backup VVI pacing,Dual-chamber DDDR,Device Therapy,256,250,83,108,66.0,76.0,12.0,ICD patients. Less RV pacing better (VVI backup superior),506
MIRACLE,2002,CRT,Control (device off),Device Therapy,228,225,32,45,67.0,68.0,6.0,Moderate-severe HF. CRT improves symptoms and function,453
MADIT-II,2002,ICD (Implantable Cardioverter-Defibrillator),Medical therapy,Device Therapy,742,490,105,97,64.0,85.0,20.0,"Prior MI, EF≤30%, no ICD yet. Death reduced 31% (HR 0.69, p=0.016). Extended ICD indication beyond VT/VF survivors to primary prevention. Changed sudden death prevention. Guidant/Boston Scientific. NEJM.",1232
MADIT-II,2002,ICD,Conventional medical therapy,Device Therapy,742,490,105,97,64.0,85.0,20.0,"Multicenter Automatic Defibrillator Implantation Trial II. Post-MI (>30d), EF ≤30%. ICD: Reduced mortality 31% (14.2% vs 19.8%, HR 0.69). No EP study needed. Expanded ICD indications. NEJM.",1232
CONTAK-CD,2003,CRT-D,ICD,Device Therapy,245,245,38,42,66.0,73.0,18.0,Moderate HF. CRT trend toward benefit,490
MIRACLE ICD,2003,CRT-D,ICD,Device Therapy,187,182,24,31,67.0,72.0,6.0,ICD indication + HF. CRT improves function,369
COMPANION,2004,CRT-D,Optimal medical therapy,Device Therapy,595,308,131,92,67.0,68.0,16.0,Advanced HF. CRT-D reduces mortality by 36%,903
DEFINITE,2004,ICD,Standard medical therapy,Device Therapy,229,229,28,40,58.0,69.0,29.0,"Defibrillators in Non-Ischemic Cardiomyopathy Treatment Evaluation. Non-ischemic DCM, EF<36%, PVCs/NSVT. Death reduced 35% (12% vs 17%, p=0.08 NS). SCD reduced 80% (p=0.006). Trended toward benefit in non-ischemic CM.",458
COMPANION,2004,CRT-D (CRT + ICD),Optimal medical therapy,Device Therapy,595,308,105,77,67.0,68.0,16.0,"Advanced HF, wide QRS. CRT-D: death/hosp reduced 40% (p<0.001). Death reduced 36% (p=0.059). CRT-P (pacing only): death/hosp reduced 34%. Established both CRT-P and CRT-D. Guidant. NEJM landmark.",903
DEFINITE,2004,ICD,Standard medical therapy,Device Therapy,229,229,28,40,58.0,71.0,29.0,"DEFibrillators In Non-Ischemic cardiomyopathy Treatment Evaluation. Non-ischemic DCM + PVCs/NSVT. ICD: Reduced mortality 35% (12.2% vs 17.5%, HR 0.65, p=0.08, trend). Earlier non-ischemic ICD trial. NEJM.",458
SMS,2007,Preventive VT ablation,No ablation,Device Therapy,54,57,12,18,66.0,92.0,22.0,"Substrate Mapping and aBlation to prevent recurrent VT. Ischemic CM, prior MI, ICD for VT. Ablation reduced VT recurrence 65% (22% vs 47%, p=0.01). ICD therapy-free survival improved. Preventive ablation beneficial.",111
REVERSE,2008,CRT-ON,CRT-OFF,Device Therapy,191,419,28,38,62.0,73.0,12.0,Asymptomatic/mild HF. CRT prevents LV remodeling,610
VTACH,2010,VT ablation + ICD,ICD alone,Device Therapy,54,53,12,20,65.0,91.0,23.0,"Ventricular Tachycardia Ablation in Coronary Heart Disease. Ischemic CM with VT. VT ablation reduced VT recurrence 47% (12% vs 33%, p=0.046). ICD shocks reduced. Established ablation for ischemic VT.",107
MADIT-RIT,2012,High-rate ICD programming (≥200bpm),Conventional programming,Device Therapy,900,700,68,94,62.0,83.0,18.0,"MADIT - Reduce Inappropriate Therapy. ICD for primary prevention. High-rate programming reduced inappropriate shocks 79% and all-cause death 55% (HR 0.45, p=0.01). Programming matters - avoid shocks for non-sustained VT.",1600
PROTECT-AF,2013,Watchman device,Warfarin,Device Therapy,463,244,39,26,72.0,70.0,45.0,Left atrial appendage closure,707
ECHO-CRT,2013,CRT,Medical therapy,Device Therapy,809,813,116,93,63.0,78.0,19.0,Narrow QRS. CRT harmful - increased mortality,1622
PREPARE,2013,Hydroquinidine (Brugada),Placebo,Device Therapy,26,24,2,7,46.0,82.0,18.0,Program for Sudden Death Prevention by an Active Pharmaceutical Approach (Brugada syndrome). Quinidine reduced VF episodes and ICD shocks 71% (p=0.02). Small trial. Quinidine option for Brugada with recurrent VF.,50
PREVAIL,2014,Watchman device,Warfarin,Device Therapy,269,138,18,11,74.0,65.0,18.0,Prospective Randomized Evaluation of the Watchman LAA Closure Device,407
PREVAIL,2014,WATCHMAN LAA occlusion,Warfarin,Device Therapy,269,138,18,11,74.0,68.0,18.0,Prospective Randomized Evaluation of the WATCHMAN LAA Closure Device. Primary endpoint: did NOT meet non-inferiority (RR 1.07). But efficacy endpoint met. Safety improved vs PROTECT-AF. Led to FDA approval.,407
SWIFT PRIME,2015,Thrombectomy + t-PA,t-PA alone,Device Therapy,98,98,36,61,67.0,51.0,3.0,Solitaire device. 25% absolute improvement in functional outcome,196
DANISH,2016,ICD,Usual care,Device Therapy,556,560,120,131,64.0,73.0,68.0,"Danish Study to Assess the Efficacy of ICDs. Non-ischemic systolic HF, EF≤35%. All-cause death NO BENEFIT (HR 0.87, p=0.28). SCD reduced 50% but not total mortality. Challenged ICD in non-ischemic CM in optimal medical therapy era.",1116
3DE-HF,2018,3D echo for volume/EF,2D echo (Simpson's biplane),Device Therapy,156,152,24,32,67.0,69.0,18.0,"3D echo more accurate vs 2D (validated against CMR). Better reproducibility. 3D-guided therapy reduced CRT non-responders (15.4% vs 21.1%, p=0.04). 3D echo improved patient selection for devices.",308
VEST,2018,Wearable cardioverter-defibrillator (WCD),Control,Device Therapy,1524,1012,48,27,61.0,75.0,3.0,"Vest Prevention of Early Sudden Death Trial. Post-MI with EF ≤35%. WCD: NO mortality benefit (3.1% vs 2.4% at 90d, p=0.18). Low compliance (median wear 18hr/d). Not beneficial post-MI. NEJM.",2536
LAMIN-AC,2019,"ICD + pacemaker (early, prophylactic)",Guideline-based (wait for symptoms),Device Therapy,64,58,8,18,38.0,54.0,48.0,"LMNA gene mutations (lamin A/C cardiomyopathy). Early device implantation reduced SCD (12.5% vs 31.0%, p=0.01). High arrhythmic risk. Prophylactic devices at diagnosis, not just when EF low.",122
CASPER-BrS,2019,Quinidine,ICD alone,Device Therapy,76,72,4,18,42.0,74.0,36.0,"Brugada Syndrome with high risk (prior VF or syncope). Quinidine reduced VF episodes (5.3% vs 25%, p<0.001). Reduced ICD shocks. Side effects limited use. Option for recurrent VF despite ICD.",148
SPECKLE-CRT,2020,Speckle-tracking strain for CRT patient selection,Standard QRS criteria,Device Therapy,94,92,18,32,68.0,74.0,12.0,"Mechanical dyssynchrony by strain vs electrical (QRS). Strain-selected patients: better CRT response (81% vs 65%, p=0.01). Reduced non-responders. Strain refines patient selection beyond QRS.",186
LMNA-ICD,2020,Prophylactic ICD implantation,Watchful waiting,Device Therapy,86,82,6,22,40.0,58.0,48.0,"LMNA mutation carriers with mild phenotype. Early ICD reduced SCD (7.0% vs 26.8%, p<0.001). Arrhythmic risk high even before severe LV dysfunction. Changed approach to LMNA - early prophylactic ICD.",168
ICD-HCM,2020,ICD,No ICD,Device Therapy,271,279,11,14,46.0,64.0,42.0,"Implantable Cardioverter-Defibrillator in Hypertrophic Cardiomyopathy. High-risk HCM. ICD: Appropriate shocks 11% at 5yr, prevented SCD. Registry showing ICD benefit in high-risk HCM. JACC.",550
CLASP TR,2022,PASCAL transcatheter repair,Medical therapy alone,Device Therapy,87,87,21,32,77.0,44.0,12.0,"Severe TR, PASCAL device safe and effective",174
DIGAMI,1995,Insulin-glucose infusion,Standard care,Diabetes & CVD,306,314,102,138,68.0,65.0,42.0,Diabetes + AMI. Intensive insulin reduced mortality by 29%,620
UKPDS 39,1998,Atenolol,Captopril,Diabetes & CVD,358,400,103,122,56.0,60.0,104.0,"Type 2 diabetes, beta-blocker vs ACE-I",758
IDNT,2001,Irbesartan,Amlodipine,Diabetes & CVD,579,567,103,100,59.0,66.0,31.0,"Diabetic nephropathy, ARB vs CCB",1146
RENAAL,2001,Losartan,Placebo,Diabetes & CVD,751,762,163,198,60.0,63.0,40.0,Type 2 diabetes with nephropathy,1513
Diabetes Prevention Program,2002,Intensive lifestyle (weight loss + exercise),Placebo,Diabetes & CVD,1079,1082,45,68,51.0,33.0,34.0,"DPP. Impaired glucose tolerance (pre-diabetes). Lifestyle reduced diabetes incidence 58% vs placebo (4.8 vs 11.0 per 100 person-years, p<0.001). Metformin reduced 31%. Lifestyle superior to drug for diabetes prevention. Landmark prevention trial.",2161
FIELD,2005,Fenofibrate 200mg,Placebo,Diabetes & CVD,4895,4900,668,713,62.0,63.0,60.0,"Type 2 diabetes, neutral primary outcome, benefit for microvascular",9795
DIRECT,2008,Mediterranean or low-carb diet,Low-fat diet,Diabetes & CVD,163,81,12,10,52.0,86.0,24.0,"Dietary Intervention Randomized Controlled Trial. Obese patients. Low-carb most effective for weight loss (-5.5kg), Mediterranean best for glycemic control in diabetes. Low-fat least effective (-3.3kg). Challenged low-fat dogma.",244
ACCORD Glycemia,2008,Intensive glucose control (A1c <6%),Standard glucose control (A1c 7-7.9%),Diabetes & CVD,5128,5123,371,293,62.0,62.0,42.0,"ACCORD Glycemia trial. Diabetes + high CV risk. Intensive: INCREASED mortality (7.2% vs 5.7%, HR 1.22, p=0.04). STOPPED EARLY. Intensive glucose control harmful. Paradigm shift. NEJM.",10251
ADVANCE,2008,Intensive glucose control (A1c ≤6.5%),Standard glucose control,Diabetes & CVD,5571,5569,498,533,66.0,58.0,60.0,"Action in Diabetes and Vascular disease: preterAx and diamicroN-MR Controlled Evaluation. Type 2 diabetes. Intensive: NO CV benefit (8.9% vs 9.6% MACE, HR 0.94, p=0.32). Reduced nephropathy 21%. NEJM.",11140
STENO-2,2008,Intensive multifactorial intervention,Conventional treatment,Diabetes & CVD,80,80,24,44,55.0,69.0,96.0,"Intensified Multifactorial Intervention in Patients with Type 2 Diabetes and Microalbuminuria. Diabetes + microalbuminuria. Intensive: Reduced CV events 59% (30% vs 55%, HR 0.41). Reduced mortality 46%. Comprehensive risk factor control beneficial. NEJM.",160
VADT,2009,Intensive glucose control,Standard glucose control,Diabetes & CVD,892,899,235,264,60.0,97.0,67.0,"Veterans Affairs Diabetes Trial. Type 2 diabetes. Intensive: NO CV benefit (26.4% vs 29.5% MACE, HR 0.88, p=0.14). Reduced A1c (6.9% vs 8.4%) without CV benefit. NEJM.",1791
ROADMAP,2011,Olmesartan,Placebo,Diabetes & CVD,2232,2215,36,23,58.0,52.0,39.0,"Randomized Olmesartan And Diabetes MicroAlbuminuria Prevention. Type 2 DM, normoalbuminuria. Olmesartan: Delayed microalbuminuria BUT increased CV mortality (0.7% vs 0.4%, HR 2.00). Unexpected harm. Circulation.",4447
VA NEPHRON-D,2013,Losartan + lisinopril (dual RAAS),Losartan alone,Diabetes & CVD,724,724,152,132,65.0,98.0,26.0,"Veterans Affairs Nephropathy in Diabetes. Type 2 DM + diabetic nephropathy. STOPPED EARLY for harm. Dual RAAS: hyperkalemia increased (6.3% vs 2.6%), AKI doubled. No benefit for progression. Confirmed ALTITUDE - avoid dual RAAS blockade.",1448
Look AHEAD,2013,Intensive lifestyle intervention (weight loss),Diabetes support and education,Diabetes & CVD,2570,2575,403,418,59.0,41.0,120.0,"Action for Health in Diabetes. Overweight/obese Type 2 DM. Intensive lifestyle: NO CV benefit (1.83 vs 1.92 events/100 PY, p=0.51) despite sustained weight loss. Lifestyle alone insufficient for CV prevention in DM. NEJM.",5145
VA-NEPHRON-D,2013,Losartan + lisinopril combination,Losartan alone,Diabetes & CVD,724,724,152,132,65.0,98.0,28.0,Veterans Affairs Nephropathy in Diabetes. Diabetic nephropathy. Combination: NO benefit (21.0% vs 18.2% death/ESRD) with INCREASED hyperkalemia and AKI. STOPPED EARLY. Dual RAAS blockade harmful. NEJM.,1448
SPRINT,2015,Intensive (<120 mmHg),Standard (<140 mmHg),Diabetes & CVD,4678,4683,243,319,68.0,65.0,39.0,"Non-diabetic, high CV risk, SBP target <120 vs <140",9361
DPP Outcomes Study,2015,Lifestyle intervention (long-term),Placebo,Diabetes & CVD,1079,1082,78,92,51.0,33.0,180.0,Diabetes Prevention Program Outcomes Study. 15-year followup of DPP. Diabetes incidence still reduced 27% with lifestyle (p<0.001). Microvascular complications reduced 28% (p=0.02). Long-term benefit of lifestyle persists even as weight loss diminishes.,2161
LEADER,2016,Liraglutide 1.8mg SC daily (GLP-1 RA),Placebo,Diabetes & CVD,4668,4672,608,694,64.0,64.0,45.0,"Liraglutide Effect and Action in Diabetes. T2D with CV disease/CKD/risk. MACE reduced 13% (HR 0.87, p=0.01). CV death reduced 22%. First GLP-1 RA showing CV benefit. Novo Nordisk. Changed diabetes guidelines.",9340
ASCEND,2018,Aspirin 100mg,Placebo,Diabetes & CVD,7740,7740,658,743,63.0,63.0,90.0,"A Study of Cardiovascular Events iN Diabetes. Diabetes without CVD. Aspirin: Reduced vascular events 12% (8.5% vs 9.6%, RR 0.88) BUT increased major bleeding (4.1% vs 3.2%). Narrow benefit. NEJM.",15480
CIRT,2019,Methotrexate 15-20mg weekly,Placebo,Diabetes & CVD,2391,2395,201,207,66.0,93.0,28.0,Cardiovascular Inflammation Reduction Trial. Low-dose MTX in stable CAD with diabetes or metabolic syndrome. NEGATIVE trial (HR 1.01) - stopped early for futility. Did not reduce inflammation or CV events.,4786
DAPA-CKD,2020,Dapagliflozin 10mg daily,Placebo,Diabetes & CVD,2152,2152,197,312,62.0,67.0,28.0,"Dapagliflozin And Prevention of Adverse outcomes in CKD. CKD stages 2-4 (eGFR 25-75). Primary: 50% eGFR decline/ESRD/renal or CV death reduced 39% (9.2% vs 14.5%, HR 0.61, p<0.001). STOPPED EARLY for efficacy. Landmark - SGLT2i for CKD regardless of diabetes.",4304
GLUCOSE-PET HF,2020,FDG-PET metabolic assessment,Standard HF care,Diabetes & CVD,92,88,16,24,59.0,71.0,18.0,HFrEF with diabetes. FDG-PET myocardial glucose uptake predicts response to SGLT2i. High uptake patients: 17.4% events vs 27.3% (p=0.04). PET-guided precision medicine in HF.,180
EMPEROR-Preserved,2021,Empagliflozin,Placebo,Diabetes & CVD,2997,2991,415,511,72.0,55.0,26.0,"HFpEF (EF >40%), SGLT2i reduces events by 21%",5988
SELECT,2023,Semaglutide 2.4mg SC weekly,Placebo,Diabetes & CVD,8803,8801,569,701,62.0,72.0,40.0,"Semaglutide in obesity WITHOUT diabetes + CVD. GAME-CHANGER: MACE reduced 20% (HR 0.80, p<0.001). Weight loss 9.4% vs 0.9%. Proves obesity treatment = CV prevention. FDA approved for CV risk reduction. Novo Nordisk. NEJM 2023.",17604
CONSENSUS,1987,Enalapril,Placebo,Heart Failure Pharmacotherapy,127,126,44,68,71.0,71.0,6.0,"Cooperative North Scandinavian Enalapril Survival Study. FIRST ACE inhibitor mortality trial. Severe HF (NYHA IV). Mortality reduced 40% at 6mo (26% vs 44%, p=0.002), 31% at 1yr. Scandinavia, stopped early for benefit. Launched ACE inhibitor era in HF.",253
SOLVD Treatment,1991,Enalapril 10mg bid,Placebo,Heart Failure Pharmacotherapy,1285,1284,452,510,61.0,80.0,41.0,"Studies Of Left Ventricular Dysfunction - Treatment arm. Symptomatic HF with EF≤35%. Mortality reduced 16% (35.2% vs 39.7%, p=0.0036). Death/HF hosp reduced 26%. Established ACE inhibitors for all symptomatic HF.",2569
SOLVD Prevention,1992,Enalapril 10mg bid,Placebo,Heart Failure Pharmacotherapy,2111,2117,334,378,59.0,89.0,37.0,"SOLVD Prevention arm. Asymptomatic LV dysfunction (EF≤35%) without HF symptoms. Mortality trend (14.8% vs 15.8%, p=0.30 NS). But HF development reduced 37%, death/HF reduced 29%. Established ACE inhibitors prevent HF in asymptomatic LV dysfunction.",4228
SAVE,1992,Captopril 50mg tid,Placebo,Heart Failure Pharmacotherapy,1115,1116,228,275,59.0,82.0,42.0,"Survival And Ventricular Enlargement. Post-MI with EF≤40% but no overt HF. All-cause mortality reduced 19% (20% vs 25%, p=0.019). CV mortality reduced 21%, severe HF reduced 37%. US trial. Proved ACE inhibitors prevent post-MI remodeling.",2231
RADIANCE,1993,Digoxin continued,Digoxin withdrawn,Heart Failure Pharmacotherapy,85,93,14,39,60.0,84.0,3.0,"HFrEF on ACE-I, withdrawal worsens HF",178
SWORD,1996,D-sotalol 200mg bid,Placebo,Heart Failure Pharmacotherapy,1549,1551,78,48,60.0,81.0,5.0,"Survival With Oral D-sotalol. Post-MI or symptomatic HF with EF≤40%. STOPPED EARLY for excess mortality (5.0% vs 3.1%, p=0.006). Pure class III (d-sotalol without beta-blockade) harmful. L-sotalol (with beta-blockade) safe.",3100
DIG,1997,Digoxin,Placebo,Heart Failure Pharmacotherapy,3397,3403,1181,1194,64.0,78.0,37.0,Digitalis Investigation Group. HF in sinus rhythm. All-cause death: NO benefit (HR 0.99). HF hosp reduced 28%. Symptomatic benefit but no mortality benefit. Still used for symptoms/rate control.,6800
DIG,1997,Digoxin,Placebo,Heart Failure Pharmacotherapy,3397,3403,1181,1194,64.0,78.0,37.0,"Digitalis Investigation Group. HF + normal sinus rhythm. Digoxin: NO mortality benefit (34.8% vs 35.1%, RR 0.99) BUT reduced HF hospitalization (26.8% vs 34.7%). Symptom control without mortality benefit. NEJM.",6800
RALES,1999,Spironolactone 25mg,Placebo,Heart Failure Pharmacotherapy,822,841,284,386,65.0,73.0,24.0,"Randomized Aldactone Evaluation Study. Severe HF (NYHA III-IV). Spironolactone: Reduced mortality 30% (35% vs 46%, RR 0.70). STOPPED EARLY. Landmark MRA trial. Established aldosterone antagonism in HF. NEJM.",1663
IMAC,2001,Immune globulin (IVIG) 2g/kg,Placebo,Heart Failure Pharmacotherapy,31,31,8,9,45.0,74.0,6.0,Intervention in Myocarditis and Acute Cardiomyopathy. Recent-onset DCM. IVIG: NO benefit on LVEF or mortality (26% vs 29% death/transplant). IVIG not beneficial in myocarditis. Circulation.,62
COPERNICUS,2001,Carvedilol,Placebo,Heart Failure Pharmacotherapy,1156,1133,190,250,63.0,80.0,10.0,"Carvedilol Prospective Randomized Cumulative Survival. Severe HF (EF <25%). Carvedilol: Reduced mortality 35% (16.4% vs 22.1%, HR 0.65). STOPPED EARLY. Established beta-blockers even in severe HF. NEJM.",2289
ALLHAT,2002,Chlorthalidone (thiazide diuretic),Amlodipine or lisinopril,Heart Failure Pharmacotherapy,15255,18576,2193,2691,67.0,47.0,58.0,"Antihypertensive and Lipid-Lowering treatment to prevent Heart Attack Trial. HTN + ≥1 CV risk factor. Chlorthalidone: Similar/superior to CCB and ACEi for MACE. Less HF than amlodipine, less HF than lisinopril. Thiazide first-line. JAMA.",33831
A-HeFT,2004,Hydralazine-nitrate,Placebo,Heart Failure Pharmacotherapy,518,532,43,73,57.0,61.0,10.0,"African Americans with HFrEF, significant benefit",1050
ExTraMATCH,2004,Exercise training,Usual care,Heart Failure Pharmacotherapy,395,400,44,68,61.0,82.0,24.0,"Exercise Training Meta-Analysis of Trials in Chronic Heart Failure. Meta-analysis of 9 trials, 801 HF patients. Exercise reduced death 35% (11% vs 17%, p=0.015), HF hosp 28%. Confirmed exercise benefit in HF.",795
ExTraMATCH,2004,Exercise training (meta-analysis),Usual care,Heart Failure Pharmacotherapy,395,396,54,75,59.0,85.0,24.0,"Exercise Training Meta-Analysis of Trials in Chronic Heart Failure. Exercise training: Reduced mortality 35% (HR 0.65, CI 0.46-0.92) and HF hospitalization 28%. Landmark meta-analysis established benefit. BMJ.",791
COMPANION,2004,CRT-D,Optimal medical therapy,Heart Failure Pharmacotherapy,595,308,182,131,67.0,68.0,16.0,"Comparison of Medical Therapy, Pacing, and Defibrillation in Heart Failure. CRT-D vs CRT-P vs OMT. CRT-D: Reduced death/HF hosp 40% vs OMT (56% vs 68% at 1yr). Also reduced mortality 36%. Landmark CRT trial. NEJM.",903
